participant,CS_type,phaseOrigin,trial,stim,memcond,cs_duration,iti_duration,phase,category,memCon_by_phase,shocked_day1
4,CSm,acq,t_001,stims/tools/airpump.jpg,old,5,2,bps1,tool,old_acq_CSm,noUS
4,CSm,acq,t_002,stims/tools/spoon.jpg,old,5,2,bps1,tool,OLD_ACQ_CS-,noUS
4,CSp,acq,t_003,stims/animals/herculesbeetle.jpg,old,5,2,bps1,animal,OLD_ACQ_CS+,YES_US
4,CSp,acq,t_004,stims/animals/rhino.jpg,old,5,2,bps1,animal,old_acq_CSp,noUS
4,CSp,acq,t_005,stims/animals/bat_simB.jpg,sim,5,2,bps1,animal,sim_acq_b_CSp,noUS
4,CSp,acq,t_006,stims/animals/rabbitt_simB.jpg,sim,5,2,bps1,animal,sim_acq_a_CSp,noUS
4,CSm,acq,t_007,stims/tools/scissors_simB.jpg,sim,5,2,bps1,tool,sim_acq_b_CSm,noUS
4,CSm,acq,t_008,stims/tools/cheesegrater_simB.jpg,sim,5,2,bps1,tool,sim_acq_a_CSm,noUS
4,CSp,acq,t_009,stims/animals/griffinVulture_simB.jpg,sim,5,2,bps1,animal,sim_acq_b_CSp,YES_US
4,CSp,acq,t_010,stims/animals/mink.jpg,old,5,2,bps1,animal,old_acq_CSp,noUS
4,CSp,acq,t_011,stims/animals/frog_simB.jpg,sim,5,2,bps1,animal,sim_acq_a_CSp,YES_US
4,CSp,acq,t_012,stims/animals/ant.jpg,old,5,2,bps1,animal,OLD_ACQ_CS+,noUS
4,CSm,acq,t_013,stims/tools/allenwrench_simB.jpg,sim,5,2,bps1,tool,SIM_ACQ_b_CS-,noUS
4,CSm,acq,t_014,stims/tools/cowboyboot_simB.jpg,sim,5,2,bps1,tool,sim_acq_a_CSm,noUS
4,CSm,acq,t_015,stims/tools/extensioncord.jpg,old,5,2,bps1,tool,old_acq_CSm,noUS
4,CSm,acq,t_016,stims/tools/shoehorn.jpg,old,5,2,bps1,tool,OLD_ACQ_CS-,noUS
4,CSp,acq,t_017,stims/animals/bison_simB.jpg,sim,5,2,bps1,animal,SIM_ACQ_a_CS+,YES_US
4,CSm,acq,t_018,stims/tools/workbench.jpg,old,5,2,bps1,tool,old_acq_CSm,noUS
4,CSp,acq,t_019,stims/animals/angelfish.jpg,old,5,2,bps1,animal,old_acq_CSp,YES_US
4,CSm,acq,t_020,stims/tools/lighterbic_simB.jpg,sim,5,2,bps1,tool,SIM_ACQ_b_CS-,noUS
4,CSm,acq,t_021,stims/tools/padlock.jpg,old,5,2,bps1,tool,old_acq_CSm,noUS
4,CSm,acq,t_022,stims/tools/thimble_simB.jpg,sim,5,2,bps1,tool,sim_acq_b_CSm,noUS
4,CSp,acq,t_023,stims/animals/giraffe_simB.jpg,sim,5,2,bps1,animal,SIM_ACQ_a_CS+,noUS
4,CSp,acq,t_024,stims/animals/hyena.jpg,old,5,2,bps1,animal,old_acq_CSp,YES_US
4,CSm,bps,t_025,stims/tools/camera.jpg,new,5,2,bps1,tool,NEW_CS-,noUS
4,CSm,bps,t_026,stims/tools/levelmount.jpg,new,5,2,bps1,tool,new_CSm,noUS
4,CSp,bps,t_027,stims/animals/salmon.jpg,new,5,2,bps1,animal,new_CSp,noUS
4,CSp,bps,t_028,stims/animals/ostrich.jpg,new,5,2,bps1,animal,NEW_CS+,noUS
4,CSm,bps,t_029,stims/tools/viceclamp.jpg,new,5,2,bps1,tool,NEW_CS-,noUS
4,CSm,bps,t_030,stims/tools/carpetblower.jpg,new,5,2,bps1,tool,new_CSm,noUS
4,CSm,bps,t_031,stims/tools/transmissionwrench.jpg,new,5,2,bps1,tool,new_CSm,noUS
4,CSp,bps,t_032,stims/animals/donkey.jpg,new,5,2,bps1,animal,new_CSp,noUS
4,CSp,bps,t_033,stims/animals/racoon.jpg,new,5,2,bps1,animal,new_CSp,noUS
4,CSp,bps,t_034,stims/animals/dog.jpg,new,5,2,bps1,animal,NEW_CS+,noUS
4,CSm,bps,t_035,stims/tools/treadmill.jpg,new,5,2,bps1,tool,NEW_CS-,noUS
4,CSp,bps,t_036,stims/animals/herring.jpg,new,5,2,bps1,animal,new_CSp,noUS
4,CSm,bps,t_037,stims/tools/wheelbarrow.jpg,new,5,2,bps1,tool,NEW_CS-,noUS
4,CSm,bps,t_038,stims/tools/eraser.jpg,new,5,2,bps1,tool,new_CSm,noUS
4,CSm,bps,t_039,stims/tools/smartphone.jpg,new,5,2,bps1,tool,NEW_CS-,noUS
4,CSp,bps,t_040,stims/animals/anteater.jpg,new,5,2,bps1,animal,new_CSp,noUS
4,CSp,bps,t_041,stims/animals/koi.jpg,new,5,2,bps1,animal,NEW_CS+,noUS
4,CSp,bps,t_042,stims/animals/crow.jpg,new,5,2,bps1,animal,new_CSp,noUS
4,CSm,bps,t_043,stims/tools/benchdogs.jpg,new,5,2,bps1,tool,new_CSm,noUS
4,CSm,ext,t_044,stims/tools/paperclip_simB.jpg,sim,5,2,bps1,tool,SIM_EXT_b_CS-,noUS
4,CSm,ext,t_045,stims/tools/whistle_simB.jpg,sim,5,2,bps1,tool,sim_ext_a_CSm,noUS
4,CSm,ext,t_046,stims/tools/toolbox_simB.jpg,sim,5,2,bps1,tool,sim_ext_b_CSm,noUS
4,CSp,ext,t_047,stims/animals/cricket.jpg,old,5,2,bps1,animal,old_ext_CSp,noUS
4,CSp,ext,t_048,stims/animals/skunk.jpg,old,5,2,bps1,animal,OLD_EXT_CS+,noUS
4,CSp,ext,t_049,stims/animals/chicken_simB.jpg,sim,5,2,bps1,animal,sim_ext_b_CSp,noUS
4,CSm,ext,t_050,stims/tools/paintbrush.jpg,old,5,2,bps1,tool,OLD_EXT_CS-,noUS
4,CSp,ext,t_051,stims/animals/partridge.jpg,old,5,2,bps1,animal,old_ext_CSp,noUS
4,CSm,ext,t_052,stims/tools/weedeater.jpg,old,5,2,bps1,tool,old_ext_CSm,noUS
4,CSm,ext,t_053,stims/tools/broom_simB.jpg,sim,5,2,bps1,tool,sim_ext_b_CSm,noUS
4,CSm,ext,t_054,stims/tools/sander.jpg,old,5,2,bps1,tool,OLD_EXT_CS-,noUS
4,CSp,ext,t_055,stims/animals/redpanda_simB.jpg,sim,5,2,bps1,animal,SIM_EXT_a_CS+,noUS
4,CSp,ext,t_056,stims/animals/waterdragon.jpg,old,5,2,bps1,animal,old_ext_CSp,noUS
4,CSm,ext,t_057,stims/tools/magnifyingglass_simB.jpg,sim,5,2,bps1,tool,SIM_EXT_b_CS-,noUS
4,CSp,ext,t_058,stims/animals/seahorse_simB.jpg,sim,5,2,bps1,animal,SIM_EXT_a_CS+,noUS
4,CSp,ext,t_059,stims/animals/bug_simB.jpg,sim,5,2,bps1,animal,sim_ext_a_CSp,noUS
4,CSp,ext,t_060,stims/animals/prayingmantis.jpg,old,5,2,bps1,animal,old_ext_CSp,noUS
4,CSm,ext,t_061,stims/tools/envelope_simB.jpg,sim,5,2,bps1,tool,sim_ext_a_CSm,noUS
4,CSp,ext,t_062,stims/animals/macaw_simB.jpg,sim,5,2,bps1,animal,sim_ext_a_CSp,noUS
4,CSm,ext,t_063,stims/tools/edger.jpg,old,5,2,bps1,tool,old_ext_CSm,noUS
4,CSm,ext,t_064,stims/tools/vegetablepeeler.jpg,old,5,2,bps1,tool,old_ext_CSm,noUS
4,CSp,ext,t_065,stims/animals/turtle_simB.jpg,sim,5,2,bps1,animal,sim_ext_b_CSp,noUS
4,CSp,ext,t_066,stims/animals/mahimahi.jpg,old,5,2,bps1,animal,OLD_EXT_CS+,noUS
4,CSm,ext,t_067,stims/tools/thermometer.jpg,old,5,2,bps1,tool,old_ext_CSm,noUS
4,CSm,bps,t_068,stims/tools/measuringtape.jpg,new,5,2,bps1,tool,new_CSm,noUS
4,CSm,bps,t_069,stims/tools/hourglass.jpg,new,5,2,bps1,tool,new_CSm,noUS
4,CSp,bps,t_070,stims/animals/octopus.jpg,new,5,2,bps1,animal,new_CSp,noUS
4,CSp,bps,t_071,stims/animals/porcupine.jpg,new,5,2,bps1,animal,new_CSp,noUS
4,CSp,bps,t_072,stims/animals/perch.jpg,new,5,2,bps1,animal,new_CSp,noUS
4,CSp,bps,t_073,stims/animals/pelican.jpg,new,5,3,bps1,animal,new_CSp,noUS
