participant,CS_type,CS_trial,category_trial,trial,phase,mem_cond,us,stimulus,cs_duration,iti_duration
55,CSp,CSp_001,animal_001,t_001,acq,old,0,stims/animals/mink.jpg,5,6
55,CSp,CSp_002,animal_002,t_002,acq,old,0,stims/animals/turkey.jpg,5,4
55,CSm,CSm_001,tool_001,t_003,acq,old,1,stims/tools/weedeater.jpg,5,5
55,CSm,CSm_002,tool_002,t_004,acq,old,0,stims/tools/routerplane.jpg,5,6
55,CSp,CSp_003,animal_003,t_005,acq,sim,0,stims/animals/seahorse_simA.jpg,5,5
55,CSm,CSm_003,tool_003,t_006,acq,old,0,stims/tools/thermometer.jpg,5,5
55,CSp,CSp_004,animal_004,t_007,acq,sim,1,stims/animals/shrimp_simA.jpg,5,4
55,CSp,CSp_005,animal_005,t_008,acq,old,0,stims/animals/partridge.jpg,5,6
55,CSm,CSm_004,tool_004,t_009,acq,sim,1,stims/tools/neckpillow_simA.jpg,5,6
55,CSm,CSm_005,tool_005,t_010,acq,old,0,stims/tools/mallet.jpg,5,5
55,CSp,CSp_006,animal_006,t_011,acq,old,0,stims/animals/duck.jpg,5,4
55,CSp,CSp_007,animal_007,t_012,acq,sim,0,stims/animals/frog_simA.jpg,5,4
55,CSm,CSm_006,tool_006,t_013,acq,sim,0,stims/tools/hockeystick_simA.jpg,5,6
55,CSp,CSp_008,animal_008,t_014,acq,sim,1,stims/animals/fox_simA.jpg,5,4
55,CSp,CSp_009,animal_009,t_015,acq,old,0,stims/animals/mahimahi.jpg,5,4
55,CSm,CSm_007,tool_007,t_016,acq,sim,0,stims/tools/funnel_simA.jpg,5,6
55,CSm,CSm_008,tool_008,t_017,acq,sim,0,stims/tools/paperlantern_simA.jpg,5,4
55,CSp,CSp_010,animal_010,t_018,acq,sim,1,stims/animals/hawk_simA.jpg,5,5
55,CSm,CSm_009,tool_009,t_019,acq,old,0,stims/tools/lawnmower.jpg,5,6
55,CSp,CSp_011,animal_011,t_020,acq,sim,0,stims/animals/cat_simA.jpg,5,4
55,CSm,CSm_010,tool_010,t_021,acq,old,0,stims/tools/measuringcups.jpg,5,4
55,CSm,CSm_011,tool_011,t_022,acq,sim,1,stims/tools/allenwrench_simA.jpg,5,6
55,CSp,CSp_012,animal_012,t_023,acq,old,0,stims/animals/catfish.jpg,5,4
55,CSm,CSm_012,tool_012,t_024,acq,sim,0,stims/tools/lantern_simA.jpg,5,4
55,CSp,CSp_013,animal_013,t_025,acq,sim,1,stims/animals/bat_simA.jpg,5,4
55,CSm,CSm_013,tool_013,t_026,acq,sim,0,stims/tools/thimble_simA.jpg,5,5
55,CSp,CSp_014,animal_014,t_027,acq,old,0,stims/animals/waterdragon.jpg,5,5
55,CSm,CSm_014,tool_014,t_028,acq,sim,0,stims/tools/ipod_simA.jpg,5,5
55,CSm,CSm_015,tool_015,t_029,acq,old,0,stims/tools/typewriter.jpg,5,6
55,CSp,CSp_015,animal_015,t_030,acq,sim,0,stims/animals/camel_simA.jpg,5,5
55,CSm,CSm_016,tool_016,t_031,acq,sim,0,stims/tools/jumprope_simA.jpg,5,6
55,CSp,CSp_016,animal_016,t_032,acq,old,0,stims/animals/brown_bear.jpg,5,6
55,CSp,CSp_017,animal_017,t_033,acq,sim,1,stims/animals/pig_simA.jpg,5,6
55,CSm,CSm_017,tool_017,t_034,acq,sim,0,stims/tools/cowboyboot_simA.jpg,5,6
55,CSp,CSp_018,animal_018,t_035,acq,sim,0,stims/animals/elephant_simA.jpg,5,6
55,CSm,CSm_018,tool_018,t_036,acq,old,0,stims/tools/fan.jpg,5,4
55,CSm,CSm_019,tool_019,t_037,acq,old,1,stims/tools/spoon.jpg,5,5
55,CSp,CSp_019,animal_019,t_038,acq,old,0,stims/animals/sheep.jpg,5,5
55,CSm,CSm_020,tool_020,t_039,acq,old,1,stims/tools/vegetablepeeler.jpg,5,4
55,CSp,CSp_020,animal_020,t_040,acq,old,0,stims/animals/ant.jpg,5,4
55,CSm,CSm_021,tool_021,t_041,acq,old,0,stims/tools/sander.jpg,5,4
55,CSp,CSp_021,animal_021,t_042,acq,sim,0,stims/animals/giraffe_simA.jpg,5,6
55,CSp,CSp_022,animal_022,t_043,acq,sim,1,stims/animals/butterfly_simA.jpg,5,4
55,CSm,CSm_022,tool_022,t_044,acq,sim,0,stims/tools/lunchtray_simA.jpg,5,5
55,CSp,CSp_023,animal_023,t_045,acq,old,0,stims/animals/mouse.jpg,5,4
55,CSm,CSm_023,tool_023,t_046,acq,sim,0,stims/tools/glasses_simA.jpg,5,4
55,CSm,CSm_024,tool_024,t_047,acq,old,0,stims/tools/measuringdevice.jpg,5,6
55,CSp,CSp_024,animal_024,t_048,acq,old,1,stims/animals/seal.jpg,5,5
