CS_type,phaseOrigin,trial,stim,memcond,cs_duration,iti_duration,phase,category,memCond_by_phase,shocked_day1
CSp,ext,t_001,stims/tools/bucket.jpg,old,5,2,bps2,tool,old_ext_CSp,noUS
CSp,ext,t_002,stims/tools/jumpercables.jpg,old,5,2,bps3,tool,old_ext_CSp,noUS
CSp,ext,t_003,stims/tools/cheesegrater_simB.jpg,sim,5,3,bps3,tool,sim_ext_b_CSp,noUS
CSp,acq,t_004,stims/tools/measuringcups.jpg,old,5,3,bps3,tool,old_acq_CSp,YES_US
CSp,bps,t_005,stims/tools/camera.jpg,new,5,3,bps2,tool,new_bps_CSp,noUS
CSm,ext,t_006,stims/animals/rabbitt_simB.jpg,sim,5,3,bps1,animal,sim_ext_b_CSm,noUS
CSm,acq,t_007,stims/animals/frog_simB.jpg,sim,5,3,bps2,animal,sim_acq_b_CSm,noUS
CSm,acq,t_008,stims/animals/ant.jpg,old,5,3,bps3,animal,old_acq_CSm,noUS
CSp,bps,t_009,stims/tools/kettle.jpg,new,5,3,bps1,tool,new_bps_CSp,noUS
CSp,ext,t_010,stims/tools/magnifyingglass_simB.jpg,sim,5,3,bps1,tool,sim_ext_b_CSp,noUS
CSp,ext,t_011,stims/tools/netscoop_simB.jpg,sim,5,3,bps2,tool,sim_ext_b_CSp,noUS
CSm,ext,t_012,stims/animals/orangutan_simB.jpg,sim,5,3,bps3,animal,sim_ext_b_CSm,noUS
CSm,bps,t_013,stims/animals/pelican.jpg,new,5,3,bps1,animal,new_bps_CSm,noUS
CSp,bps,t_014,stims/tools/wheelbarrow.jpg,new,5,3,bps2,tool,new_bps_CSp,noUS
CSp,acq,t_015,stims/tools/spoon.jpg,old,5,3,bps1,tool,old_acq_CSp,YES_US
CSm,acq,t_016,stims/animals/waterdragon.jpg,old,5,3,bps3,animal,old_acq_CSm,noUS
CSp,ext,t_017,stims/tools/barrel_simB.jpg,sim,5,3,bps1,tool,sim_ext_b_CSp,noUS
CSm,ext,t_018,stims/animals/crab_simB.jpg,sim,5,3,bps2,animal,sim_ext_b_CSm,noUS
CSp,bps,t_019,stims/tools/smartphone.jpg,new,5,3,bps2,tool,new_bps_CSp,noUS
CSp,ext,t_020,stims/tools/toolbox_simB.jpg,sim,5,3,bps3,tool,sim_ext_b_CSp,noUS
CSp,acq,t_021,stims/tools/thimble_simB.jpg,sim,5,3,bps2,tool,sim_acq_b_CSp,YES_US
CSm,acq,t_022,stims/animals/turkey.jpg,old,5,3,bps1,animal,old_acq_CSm,noUS
CSp,ext,t_023,stims/tools/paintbrush.jpg,old,5,3,bps2,tool,old_ext_CSp,noUS
CSp,ext,t_024,stims/tools/broom_simB.jpg,sim,5,3,bps3,tool,sim_ext_b_CSp,noUS
CSm,acq,t_025,stims/animals/fox_simB.jpg,sim,5,3,bps1,animal,sim_acq_b_CSm,noUS
CSm,bps,t_026,stims/animals/moth.jpg,new,5,3,bps2,animal,new_bps_CSm,noUS
CSm,bps,t_027,stims/animals/herring.jpg,new,5,3,bps3,animal,new_bps_CSm,noUS
CSm,ext,t_028,stims/animals/rhino.jpg,old,5,3,bps2,animal,old_ext_CSm,noUS
CSp,ext,t_029,stims/tools/blower.jpg,old,5,3,bps1,tool,old_ext_CSp,noUS
