CS_type,phaseOrigin,trial,stim,mem_con,cs_duration,cs_duration,phase,category,memCon_by_phase,shocked_day1
CSp,acq,t_001,stims/animals/fox_simB.jpg,sim,5,5,bps1,animal,sim_acq_b_CSp,YES_US
CSp,ext,t_002,stims/animals/aardvark.jpg,old,5,2,bps1,animal,OLD_EXT_CSp,noUS
CSm,acq,t_003,stims/tools/mallet.jpg,old,5,2,bps1,tool,OLD_ACQ_CSm,noUS
CSm,ext,t_004,stims/tools/broom_simB.jpg,sim,5,2,bps1,tool,sim_ext_b_CSm,noUS
CSp,bps,t_005,stims/animals/anteater.jpg,new,5,2,bps1,animal,new_bps_CSp,noUS
CSm,bps,t_006,stims/tools/hourglass.jpg,new,5,5,bps1,tool,new_bps_CSm,noUS
CSp,ext,t_007,stims/animals/lobster_simB.jpg,sim,5,2,bps1,animal,SIM_EXT_b_CSp,noUS
CSp,acq,t_008,stims/animals/giraffe_simB.jpg,sim,5,2,bps1,animal,SIM_ACQ_b_CSp,noUS
CSp,bps,t_009,stims/animals/porcupine.jpg,new,5,5,bps1,animal,new_bps_CSp,noUS
CSm,ext,t_010,stims/tools/jumpercables.jpg,old,5,2,bps1,tool,old_ext_CSm,noUS
CSp,bps,t_011,stims/animals/moth.jpg,new,5,2,bps1,animal,NEW_CSp,noUS
CSm,bps,t_012,stims/tools/videogamecontroller.jpg,new,5,2,bps1,tool,new_bps_CSm,noUS
CSm,ext,t_013,stims/tools/barrel_simB.jpg,sim,5,5,bps1,tool,sim_ext_b_CSm,noUS
CSm,acq,t_014,stims/tools/vegetablepeeler.jpg,old,5,2,bps1,tool,OLD_ACQ_CSm,noUS
CSm,ext,t_015,stims/tools/squeegee.jpg,old,5,2,bps1,tool,old_ext_CSm,noUS
CSp,bps,t_016,stims/animals/perch.jpg,new,5,5,bps1,animal,new_bps_CSp,noUS
CSm,acq,t_017,stims/tools/routerplane.jpg,old,5,5,bps1,tool,old_acq_CSm,noUS
CSp,ext,t_018,stims/animals/hyena.jpg,old,5,5,bps1,animal,old_ext_CSp,noUS
CSp,ext,t_019,stims/animals/llama.jpg,old,5,2,bps1,animal,old_ext_CSp,noUS
CSm,ext,t_020,stims/tools/extensioncord.jpg,old,5,5,bps1,tool,old_ext_CSm,noUS
CSp,bps,t_021,stims/animals/pigeon.jpg,new,5,2,bps1,animal,NEW_CSp,noUS
CSm,bps,t_022,stims/tools/transmissionwrench.jpg,new,5,2,bps1,tool,new_bps_CSm,noUS
CSp,acq,t_023,stims/animals/shrimp_simB.jpg,sim,5,2,bps1,animal,sim_acq_b_CSp,YES_US
CSp,bps,t_024,stims/animals/pelican.jpg,new,5,5,bps1,animal,new_bps_CSp,noUS
CSp,acq,t_025,stims/animals/catfish.jpg,old,5,5,bps1,animal,old_acq_CSp,YES_US
CSm,ext,t_026,stims/tools/usb_simB.jpg,sim,5,2,bps1,tool,SIM_EXT_b_CSm,noUS
CSm,bps,t_027,stims/tools/benchdogs.jpg,new,5,2,bps1,tool,new_bps_CSm,noUS
CSp,ext,t_028,stims/animals/rhino.jpg,old,5,2,bps1,animal,OLD_EXT_CSp,noUS
CSp,acq,t_029,stims/animals/cat_simB.jpg,sim,5,5,bps1,animal,sim_acq_b_CSp,YES_US
CSm,acq,t_030,stims/tools/paperlantern_simB.jpg,sim,5,2,bps1,tool,SIM_ACQ_b_CSm,noUS
CSp,bps,t_031,stims/animals/herring.jpg,new,5,2,bps1,animal,new_bps_CSp,noUS
CSm,bps,t_032,stims/tools/grill.jpg,new,5,2,bps1,tool,new_bps_CSm,noUS
CSm,ext,t_033,stims/tools/edger.jpg,old,5,5,bps1,tool,old_ext_CSm,noUS
CSp,acq,t_034,stims/animals/duck.jpg,old,5,5,bps1,animal,old_acq_CSp,noUS
CSm,bps,t_035,stims/tools/camera.jpg,new,5,2,bps1,tool,NEW_CSm,noUS
CSp,acq,t_036,stims/animals/seal.jpg,old,5,2,bps1,animal,old_acq_CSp,YES_US
CSp,bps,t_037,stims/animals/rosechafer.jpg,new,5,2,bps1,animal,NEW_CSp,noUS
CSp,bps,t_038,stims/animals/peacock.jpg,new,5,2,bps1,animal,new_bps_CSp,noUS
CSm,bps,t_039,stims/tools/measuringtape.jpg,new,5,5,bps1,tool,new_bps_CSm,noUS
CSm,bps,t_040,stims/tools/treadmill.jpg,new,5,2,bps1,tool,NEW_CSm,noUS
CSp,ext,t_041,stims/animals/capybara.jpg,old,5,5,bps1,animal,old_ext_CSp,noUS
CSm,ext,t_042,stims/tools/toolbox_simB.jpg,sim,5,2,bps1,tool,sim_ext_b_CSm,noUS
CSp,acq,t_043,stims/animals/mahimahi.jpg,old,5,2,bps1,animal,old_acq_CSp,YES_US
CSp,ext,t_044,stims/animals/tiger_simB.jpg,sim,5,2,bps1,animal,SIM_EXT_b_CSp,noUS
CSp,bps,t_045,stims/animals/crow.jpg,new,5,2,bps1,animal,new_bps_CSp,noUS
CSm,ext,t_046,stims/tools/toaster.jpg,old,5,2,bps1,tool,OLD_EXT_CSm,noUS
