CS_type,trial,phase,cs_duration,iti_duration,categroy_trial,CS_trial,stim
CSm,t_001,recall,5,7,tool_001,CSm_001,stims/tools/stapler.jpg
CSp,t_002,recall,5,7,animal_001,CSp_001,stims/animals/snail.jpg
CSm,t_003,recall,5,6,tool_002,CSm_002,stims/tools/coffeegrinder.jpg
CSp,t_004,recall,5,6,animal_002,CSp_002,stims/animals/goat.jpg
CSp,t_005,recall,5,7,animal_003,CSp_003,stims/animals/clownfish.jpg
CSm,t_006,recall,5,6,tool_003,CSm_003,stims/tools/necktie.jpg
CSp,t_007,recall,5,8,animal_004,CSp_004,stims/animals/echidna.jpg
CSm,t_008,recall,5,8,tool_004,CSm_004,stims/tools/shoppingbag.jpg
CSp,t_009,recall,5,8,animal_005,CSp_005,stims/animals/bowerbird.jpg
CSm,t_010,recall,5,7,tool_005,CSm_005,stims/tools/ladle.jpg
CSm,t_011,recall,5,8,tool_006,CSm_006,stims/tools/boxinggloves.jpg
CSp,t_012,recall,5,6,animal_006,CSp_006,stims/animals/armadillo.jpg
