CS_type,phaseOrigin,trial,stim,mem_con,cs_duration,iti_duration,phase,category,memCon_by_phase,shocked_day1
CSp,acq,t_001,stims/tools/edger.jpg,old,5,2,bps2,tool,old_acq_CSp,YES_US
CSp,ext,t_002,stims/tools/plunger.jpg,old,5,2,bps2,tool,OLD_EXT_CS+,noUS
CSp,ext,t_003,stims/tools/scissors_simB.jpg,sim,5,3,bps2,tool,sim_ext_a_CSp,noUS
CSp,acq,t_004,stims/tools/envelope_simB.jpg,sim,5,2,bps2,tool,SIM_ACQ_a_CS+,noUS
CSp,acq,t_005,stims/tools/typewriter.jpg,old,5,2,bps2,tool,old_acq_CSp,YES_US
CSp,bps,t_006,stims/tools/kettle.jpg,new,5,3,bps2,tool,new_bps_CSp,noUS
CSm,bps,t_007,stims/animals/ostrich.jpg,new,5,2,bps2,animal,NEW_BPS_CS-,noUS
CSm,bps,t_008,stims/animals/chipmunk.jpg,new,5,2,bps2,animal,new_bps_CSm,noUS
CSm,acq,t_009,stims/animals/cow_simB.jpg,sim,5,3,bps2,animal,sim_acq_a_CSm,noUS
CSm,ext,t_010,stims/animals/camel_simB.jpg,sim,5,2,bps2,animal,sim_ext_a_CSm,noUS
CSp,acq,t_011,stims/tools/ropeandpulley.jpg,old,5,3,bps2,tool,OLD_ACQ_CS+,noUS
CSm,ext,t_012,stims/animals/pig_simB.jpg,sim,5,3,bps2,animal,sim_ext_a_CSm,noUS
CSp,bps,t_013,stims/tools/duffelbag.jpg,new,5,3,bps2,tool,new_bps_CSp,noUS
CSp,bps,t_014,stims/tools/pliers.jpg,new,5,3,bps2,tool,new_bps_CSp,noUS
CSm,ext,t_015,stims/animals/mouse.jpg,old,5,2,bps2,animal,OLD_EXT_CS-,noUS
CSp,acq,t_016,stims/tools/vegetablepeeler.jpg,old,5,3,bps2,tool,OLD_ACQ_CS+,YES_US
CSm,acq,t_017,stims/animals/llama.jpg,old,5,3,bps2,animal,old_acq_CSm,noUS
CSm,bps,t_018,stims/animals/springhare.jpg,new,5,3,bps2,animal,new_bps_CSm,noUS
CSp,ext,t_019,stims/tools/rollingpin.jpg,old,5,2,bps2,tool,old_ext_CSp,noUS
CSm,acq,t_020,stims/animals/flea.jpg,old,5,2,bps2,animal,old_acq_CSm,noUS
CSm,ext,t_021,stims/animals/bat_simB.jpg,sim,5,2,bps2,animal,SIM_EXT_a_CS-,noUS
CSp,acq,t_022,stims/tools/gardenhose_simB.jpg,sim,5,2,bps2,tool,sim_acq_a_CSp,YES_US
CSm,bps,t_023,stims/animals/koi.jpg,new,5,2,bps2,animal,NEW_BPS_CS-,noUS
CSp,ext,t_024,stims/tools/travelmug_simB.jpg,sim,5,2,bps2,tool,sim_ext_a_CSp,noUS
CSm,acq,t_025,stims/animals/goose_simB.jpg,sim,5,2,bps2,animal,sim_acq_a_CSm,noUS
CSp,bps,t_026,stims/tools/microwave.jpg,new,5,2,bps2,tool,NEW_BPS_CS+,noUS
CSp,ext,t_027,stims/tools/squeegee.jpg,old,5,3,bps2,tool,old_ext_CSp,noUS
CSm,acq,t_028,stims/animals/seahorse_simB.jpg,sim,5,3,bps2,animal,SIM_ACQ_a_CS-,noUS
CSm,acq,t_029,stims/animals/cat_simB.jpg,sim,5,3,bps2,animal,sim_acq_a_CSm,noUS
CSp,bps,t_030,stims/tools/grill.jpg,new,5,3,bps2,tool,new_bps_CSp,noUS
CSp,acq,t_031,stims/tools/sander.jpg,old,5,3,bps2,tool,old_acq_CSp,noUS
CSm,acq,t_032,stims/animals/rabbitt_simB.jpg,sim,5,2,bps2,animal,SIM_ACQ_a_CS-,noUS
CSp,bps,t_033,stims/tools/transmissionwrench.jpg,new,5,2,bps2,tool,new_bps_CSp,noUS
CSp,bps,t_034,stims/tools/solderingtorch.jpg,new,5,3,bps2,tool,new_bps_CSp,noUS
CSm,bps,t_035,stims/animals/salmon.jpg,new,5,2,bps2,animal,new_bps_CSm,noUS
CSm,ext,t_036,stims/animals/marmot.jpg,old,5,3,bps2,animal,OLD_EXT_CS-,noUS
CSm,ext,t_037,stims/animals/skunk.jpg,old,5,3,bps2,animal,old_ext_CSm,noUS
CSp,acq,t_038,stims/tools/paintroller.jpg,old,5,3,bps2,tool,old_acq_CSp,noUS
CSp,ext,t_039,stims/tools/thimble_simB.jpg,sim,5,3,bps2,tool,sim_ext_a_CSp,noUS
CSm,acq,t_040,stims/animals/bird_simB.jpg,sim,5,2,bps2,animal,sim_acq_a_CSm,noUS
CSm,acq,t_041,stims/animals/partridge.jpg,old,5,2,bps2,animal,old_acq_CSm,noUS
CSm,bps,t_042,stims/animals/dog.jpg,new,5,2,bps2,animal,NEW_BPS_CS-,noUS
CSm,ext,t_043,stims/animals/caterpillarpeacockmoth.jpg,old,5,2,bps2,animal,old_ext_CSm,noUS
CSp,acq,t_044,stims/tools/broom_simB.jpg,sim,5,3,bps2,tool,sim_acq_a_CSp,noUS
CSm,bps,t_045,stims/animals/halibut.jpg,new,5,3,bps2,animal,new_bps_CSm,noUS
CSm,ext,t_046,stims/animals/cassowary_simB.jpg,sim,5,3,bps2,animal,SIM_EXT_a_CS-,noUS
CSm,bps,t_047,stims/animals/herring.jpg,new,5,2,bps2,animal,new_bps_CSm,noUS
CSp,ext,t_048,stims/tools/gong.jpg,old,5,2,bps2,tool,OLD_EXT_CS+,noUS
CSp,ext,t_049,stims/tools/faxmachine.jpg,old,5,3,bps2,tool,old_ext_CSp,noUS
CSp,ext,t_050,stims/tools/usb_simB.jpg,sim,5,3,bps2,tool,SIM_EXT_a_CS+,noUS
CSm,acq,t_051,stims/animals/canary.jpg,old,5,3,bps2,animal,OLD_ACQ_CS-,noUS
CSp,bps,t_052,stims/tools/campingstove.jpg,new,5,2,bps2,tool,new_bps_CSp,noUS
CSm,acq,t_053,stims/animals/mink.jpg,old,5,3,bps2,animal,old_acq_CSm,noUS
CSp,bps,t_054,stims/tools/benchdogs.jpg,new,5,2,bps2,tool,new_bps_CSp,noUS
CSp,bps,t_055,stims/tools/spraybottle.jpg,new,5,2,bps2,tool,NEW_BPS_CS+,noUS
CSm,ext,t_056,stims/animals/starfish.jpg,old,5,2,bps2,animal,old_ext_CSm,noUS
CSm,bps,t_057,stims/animals/waterbuffalo.jpg,new,5,2,bps2,animal,new_bps_CSm,noUS
CSm,ext,t_058,stims/animals/seal.jpg,old,5,2,bps2,animal,old_ext_CSm,noUS
CSp,acq,t_059,stims/tools/rake_simB.jpg,sim,5,2,bps2,tool,sim_acq_a_CSp,noUS
CSm,acq,t_060,stims/animals/hyena.jpg,old,5,2,bps2,animal,OLD_ACQ_CS-,noUS
CSp,ext,t_061,stims/tools/weldinghelmet.jpg,old,5,2,bps2,tool,old_ext_CSp,noUS
CSp,bps,t_062,stims/tools/screwdriver.jpg,new,5,3,bps2,tool,NEW_BPS_CS+,noUS
CSm,bps,t_063,stims/animals/donkey.jpg,new,5,2,bps2,animal,new_bps_CSm,noUS
CSp,ext,t_064,stims/tools/hairdryer_simB.jpg,sim,5,2,bps2,tool,sim_ext_a_CSp,noUS
CSp,bps,t_065,stims/tools/eraser.jpg,new,5,2,bps2,tool,new_bps_CSp,noUS
CSm,ext,t_066,stims/animals/quoll_simB.jpg,sim,5,3,bps2,animal,sim_ext_a_CSm,noUS
CSp,acq,t_067,stims/tools/lantern_simB.jpg,sim,5,2,bps2,tool,SIM_ACQ_a_CS+,YES_US
CSm,bps,t_068,stims/animals/pelican.jpg,new,5,2,bps2,animal,new_bps_CSm,noUS
CSm,ext,t_069,stims/animals/orca_simB.jpg,sim,5,2,bps2,animal,sim_ext_a_CSm,noUS
CSp,acq,t_070,stims/tools/cowboyboot_simB.jpg,sim,5,2,bps2,tool,sim_acq_a_CSp,YES_US
CSp,ext,t_071,stims/tools/glasses_simB.jpg,sim,5,2,bps2,tool,SIM_EXT_a_CS+,noUS
CSm,bps,t_072,stims/animals/crow.jpg,new,5,2,bps2,animal,new_BPS_CSm,noUS
