CS_type,phaseOrigin,trial,stim,memcond,cs_duration,iti_duration,phase,category,memCon_by_phase,shocked_day1
CSp,acq,t_001,stims/animals/gerbil.jpg,old,5,2,bps2,animal,OLD_ACQ_CS+,YES_US
CSp,acq,t_002,stims/animals/cow_simB.jpg,sim,5,2,bps2,animal,SIM_ACQ_a_CS+,YES_US
CSm,acq,t_003,stims/tools/ipod_simB.jpg,sim,5,2,bps2,tool,sim_acq_a_CSm,noUS
CSm,ext,t_004,stims/tools/hairdryer_simB.jpg,sim,5,2,bps2,tool,sim_ext_b_CSm,noUS
CSm,bps,t_005,stims/tools/campingstove.jpg,new,5,3,bps2,tool,new_CSm,noUS
CSm,bps,t_006,stims/tools/videogamecontroller.jpg,new,5,3,bps2,tool,new_CSm,noUS
CSm,acq,t_007,stims/tools/barstool_simB.jpg,sim,5,3,bps2,tool,SIM_ACQ_b_CS-,noUS
CSp,bps,t_008,stims/animals/horse.jpg,new,5,2,bps2,animal,NEW_CS+,noUS
CSm,ext,t_009,stims/tools/gradcap_simB.jpg,sim,5,3,bps2,tool,sim_ext_a_CSm,noUS
CSm,acq,t_010,stims/tools/lunchtray_simB.jpg,sim,5,2,bps2,tool,sim_acq_b_CSm,noUS
CSm,ext,t_011,stims/tools/measuringcups.jpg,old,5,3,bps2,tool,OLD_EXT_CS-,noUS
CSp,ext,t_012,stims/animals/hummingbird.jpg,old,5,3,bps2,animal,OLD_EXT_CS+,noUS
CSp,ext,t_013,stims/animals/flea.jpg,old,5,2,bps2,animal,old_ext_CSp,noUS
CSm,acq,t_014,stims/tools/stove.jpg,old,5,2,bps2,tool,old_acq_CSm,noUS
CSp,acq,t_015,stims/animals/quail.jpg,old,5,2,bps2,animal,old_acq_CSp,noUS
CSm,bps,t_016,stims/tools/screwdriver.jpg,new,5,3,bps2,tool,NEW_CS-,noUS
CSp,bps,t_017,stims/animals/palmcockatoo.jpg,new,5,2,bps2,animal,new_CSp,noUS
CSp,bps,t_018,stims/animals/halibut.jpg,new,5,3,bps2,animal,new_CSp,noUS
CSm,bps,t_019,stims/tools/wrench.jpg,new,5,2,bps2,tool,new_CSm,noUS
CSm,ext,t_020,stims/tools/jumpercables.jpg,old,5,2,bps2,tool,old_ext_CSm,noUS
CSp,bps,t_021,stims/animals/springhare.jpg,new,5,2,bps2,animal,new_CSp,noUS
