phase,trial_type,stimulus,cs_duration,iti_duration,trial,trial_cs
renewal,new,,5,,1,0
renewal,CS+,,5,,2,1
renewal,CS-,,5,,3,1
renewal,CS+,,5,,4,2
renewal,CS+,,5,,5,3
renewal,CS-,,5,,6,2
renewal,CS-,,5,,7,3
renewal,CS+,,5,,8,4
renewal,CS-,,5,,9,4
renewal,CS-,,5,,10,5
renewal,CS+,,5,,11,5
renewal,CS+,,5,,12,6
renewal,CS-,,5,,13,6
renewal,CS+,,5,,14,7
renewal,CS-,,5,,15,7
renewal,CS+,,5,,16,8
renewal,CS-,,5,,17,8
renewal,CS-,,5,,18,9
renewal,CS+,,5,,19,9
renewal,CS-,,5,,20,10
renewal,CS+,,5,,21,10
renewal,CS-,,5,,22,11
renewal,CS+,,5,,23,11
renewal,CS+,,5,,24,12
renewal,CS-,,5,,25,12
