participant,CS_type,CS_trial,category_trial,trial,phase,mem_cond,us,stimulus,cs_duration,iti_duration,counterbal_order
3,CSp,CSp_001,tool_001,t_001,base,sim,0,stims/tools/allenwrench_simA.jpg,5,6,order1
3,CSm,CSm_001,animal_001,t_002,base,sim,0,stims/animals/tiger_simA.jpg,5,4,order1
3,CSp,CSp_002,tool_002,t_003,base,sim,0,stims/tools/magnifyingglass_simA.jpg,5,5,order1
3,CSm,CSm_002,animal_002,t_004,base,sim,0,stims/animals/chicken_simA.jpg,5,6,order1
3,CSm,CSm_003,animal_003,t_005,base,sim,0,stims/animals/penguin_simA.jpg,5,5,order1
3,CSp,CSp_003,tool_003,t_006,base,old,0,stims/tools/airpump.jpg,5,5,order1
3,CSp,CSp_004,tool_004,t_007,base,sim,0,stims/tools/lunchtray_simA.jpg,5,4,order1
3,CSm,CSm_004,animal_004,t_008,base,old,0,stims/animals/duck.jpg,5,6,order1
3,CSp,CSp_005,tool_005,t_009,base,sim,0,stims/tools/ipod_simA.jpg,5,6,order1
3,CSp,CSp_006,tool_006,t_010,base,old,0,stims/tools/weedeater.jpg,5,5,order1
3,CSm,CSm_005,animal_005,t_011,base,sim,0,stims/animals/macaw_simA.jpg,5,4,order1
3,CSm,CSm_006,animal_006,t_012,base,old,0,stims/animals/quail.jpg,5,4,order1
3,CSp,CSp_007,tool_007,t_013,base,sim,0,stims/tools/spork_simA.jpg,5,6,order1
3,CSp,CSp_008,tool_008,t_014,base,old,0,stims/tools/spoon.jpg,5,4,order1
3,CSm,CSm_007,animal_007,t_015,base,sim,0,stims/animals/bug_simA.jpg,5,4,order1
3,CSm,CSm_008,animal_008,t_016,base,old,0,stims/animals/zebra.jpg,5,6,order1
3,CSp,CSp_009,tool_009,t_017,base,sim,0,stims/tools/stethescope_simA.jpg,5,4,order1
3,CSm,CSm_009,animal_009,t_018,base,old,0,stims/animals/dragonfly.jpg,5,5,order1
3,CSp,CSp_010,tool_010,t_019,base,old,0,stims/tools/lawnmower.jpg,5,6,order1
3,CSm,CSm_010,animal_010,t_020,base,old,0,stims/animals/waterdragon.jpg,5,4,order1
3,CSm,CSm_011,animal_011,t_021,base,sim,0,stims/animals/frog_simA.jpg,5,4,order1
3,CSp,CSp_011,tool_011,t_022,base,old,0,stims/tools/bucket.jpg,5,6,order1
3,CSm,CSm_012,animal_012,t_023,base,old,0,stims/animals/brown_bear.jpg,5,4,order1
3,CSp,CSp_012,tool_012,t_024,base,old,0,stims/tools/thermometer.jpg,5,4,order1
3,CSm,CSm_013,animal_013,t_025,base,sim,0,stims/animals/goldfish_simA.jpg,5,4,order1
3,CSp,CSp_013,tool_013,t_026,base,old,0,stims/tools/toaster.jpg,5,5,order1
3,CSm,CSm_014,animal_014,t_027,base,old,0,stims/animals/mole.jpg,5,5,order1
3,CSm,CSm_015,animal_015,t_028,base,sim,0,stims/animals/lobster_simA.jpg,5,5,order1
3,CSp,CSp_014,tool_014,t_029,base,sim,0,stims/tools/whistle_simA.jpg,5,6,order1
3,CSm,CSm_016,animal_016,t_030,base,sim,0,stims/animals/redpanda_simA.jpg,5,5,order1
3,CSm,CSm_017,animal_017,t_031,base,sim,0,stims/animals/fox_simA.jpg,5,6,order1
3,CSp,CSp_015,tool_015,t_032,base,sim,0,stims/tools/jumprope_simA.jpg,5,6,order1
3,CSp,CSp_016,tool_016,t_033,base,sim,0,stims/tools/toolbox_simA.jpg,5,6,order1
3,CSm,CSm_018,animal_018,t_034,base,old,0,stims/animals/snapper.jpg,5,6,order1
3,CSp,CSp_017,tool_017,t_035,base,sim,0,stims/tools/cheesegrater_simA.jpg,5,6,order1
3,CSp,CSp_018,tool_018,t_036,base,old,0,stims/tools/beadingtool.jpg,5,4,order1
3,CSm,CSm_019,animal_019,t_037,base,old,0,stims/animals/ant.jpg,5,5,order1
3,CSp,CSp_019,tool_019,t_038,base,old,0,stims/tools/workbench.jpg,5,5,order1
3,CSm,CSm_020,animal_020,t_039,base,old,0,stims/animals/catfish.jpg,5,4,order1
3,CSp,CSp_020,tool_020,t_040,base,sim,0,stims/tools/sewingmachine_simA.jpg,5,4,order1
3,CSp,CSp_021,tool_021,t_041,base,old,0,stims/tools/paintbrush.jpg,5,4,order1
3,CSm,CSm_021,animal_021,t_042,base,old,0,stims/animals/angelfish.jpg,5,6,order1
3,CSp,CSp_022,tool_022,t_043,base,sim,0,stims/tools/barrel_simA.jpg,5,4,order1
3,CSm,CSm_022,animal_022,t_044,base,old,0,stims/animals/sheep.jpg,5,5,order1
3,CSp,CSp_023,tool_023,t_045,base,old,0,stims/tools/measuringdevice.jpg,5,4,order1
3,CSp,CSp_024,tool_024,t_046,base,old,0,stims/tools/measuringcups.jpg,5,4,order1
3,CSm,CSm_023,animal_023,t_047,base,sim,0,stims/animals/tapir_simA.jpg,5,6,order1
3,CSm,CSm_024,animal_024,t_048,base,sim,0,stims/animals/turtle_simA.jpg,5,5,order1
