CS_type,trial,phase,cs_duration,iti_duration,categroy_trial,CS_trial,counterbal_order,stim,recall_trials.thisRepN,recall_trials.thisTrialN,recall_trials.thisN,recall_trials.thisIndex,crosshair.started,crosshair.stopped,trials_resp.started,recall_image.started,trials_resp.keys,trials_resp.rt,trials_resp.duration,trials_resp.stopped,recall_image.stopped,ex_iti_resp.started,ex_iti_resp.keys,ex_iti_resp.rt,ex_iti_resp.duration,session,date,expName,psychopyVersion,frameRate,
CSm,t_001,recall,5,5,tool_001,CSm_001,Order1,stims/tools/stapler.jpg,0,0,0,0,9.092320124967955,14.098053957975935,14.098053957975935,14.098053957975935,1,0.36178750003455207,None,,,,,,,2,2025-06-18_10h43.19.420,recall,2023.1.3,None,
CSp,t_002,recall,5,6,animal_001,CSp_001,Order1,stims/animals/snail.jpg,0,1,1,1,19.09930862498004,25.09600054199109,25.09600054199109,25.09600054199109,2,0.4518530000350438,None,30.089914791984484,30.089914791984484,,,,,2,2025-06-18_10h43.19.420,recall,2023.1.3,None,
CSm,t_003,recall,5,7,tool_002,CSm_002,Order1,stims/tools/coffeegrinder.jpg,0,2,2,2,30.089914791984484,37.09373570798198,37.09373570798198,37.09373570798198,1,0.6544593329890631,None,,,,,,,2,2025-06-18_10h43.19.420,recall,2023.1.3,None,
CSp,t_004,recall,5,6,animal_002,CSp_002,Order1,stims/animals/goat.jpg,0,3,3,3,42.090696041996125,48.093354082957376,48.093354082957376,48.093354082957376,2,0.489741958968807,None,,,,,,,2,2025-06-18_10h43.19.420,recall,2023.1.3,None,
CSp,t_005,recall,5,6,animal_003,CSp_003,Order1,stims/animals/clownfish.jpg,0,4,4,4,53.09052137500839,59.09476620797068,59.09476620797068,59.09476620797068,1,0.6617316670017317,None,64.08702587499283,64.08702587499283,,,,,2,2025-06-18_10h43.19.420,recall,2023.1.3,None,
CSm,t_006,recall,5,7,tool_003,CSm_003,Order1,stims/tools/necktie.jpg,0,5,5,5,64.08702587499283,71.09215333295288,71.09215333295288,71.09215333295288,1,0.689268791989889,None,76.08682858297834,76.08682858297834,,,,,2,2025-06-18_10h43.19.420,recall,2023.1.3,None,
CSp,t_007,recall,5,7,animal_004,CSp_004,Order1,stims/animals/echidna.jpg,0,6,6,6,76.08682858297834,83.08332749997498,83.08332749997498,83.08332749997498,1,0.4559162919758819,None,,,,,,,2,2025-06-18_10h43.19.420,recall,2023.1.3,None,
CSm,t_008,recall,5,7,tool_004,CSm_004,Order1,stims/tools/shoppingbag.jpg,0,7,7,7,88.08911158295814,95.08376087498618,95.08376087498618,95.08376087498618,1,0.6282774999854155,None,100.0787327499711,100.0787327499711,,,,,2,2025-06-18_10h43.19.420,recall,2023.1.3,None,
CSp,t_009,recall,5,5,animal_005,CSp_005,Order1,stims/animals/bowerbird.jpg,0,8,8,8,100.0787327499711,105.0801139579853,105.0801139579853,105.0801139579853,2,0.8395142910303548,None,110.07320458296454,110.07320458296454,,,,,2,2025-06-18_10h43.19.420,recall,2023.1.3,None,
CSm,t_010,recall,5,6,tool_005,CSm_005,Order1,stims/tools/ladle.jpg,0,9,9,9,110.07320458296454,116.07010804198217,116.07010804198217,116.07010804198217,1,0.45021583302877843,None,,,,,,,2,2025-06-18_10h43.19.420,recall,2023.1.3,None,
CSm,t_011,recall,5,5,tool_006,CSm_006,Order1,stims/tools/boxinggloves.jpg,0,10,10,10,121.0703628329793,126.0787312919856,126.0787312919856,126.0787312919856,2,0.6993664580513723,None,,,,,,,2,2025-06-18_10h43.19.420,recall,2023.1.3,None,
CSp,t_012,recall,5,5,animal_006,CSp_006,Order1,stims/animals/armadillo.jpg,0,11,11,11,131.07107183296466,136.0689429579652,136.0689429579652,136.0689429579652,2,0.7342732080142014,None,,,,,,,2,2025-06-18_10h43.19.420,recall,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,141.1771969999536,space,19.41530337498989,None,2,2025-06-18_10h43.19.420,recall,2023.1.3,None,
