CS_type,trial,phase,cs_duration,iti_duration,categroy_trial,CS_trial,counterbal_order,stim,recall_trials.thisRepN,recall_trials.thisTrialN,recall_trials.thisN,recall_trials.thisIndex,crosshair.started,crosshair.stopped,trials_resp.started,recall_image.started,trials_resp.keys,trials_resp.rt,trials_resp.duration,trials_resp.stopped,recall_image.stopped,session,date,expName,psychopyVersion,frameRate,
CSm,t_001,recall,5,5,tool_001,CSm_001,Order1,stims/tools/stapler.jpg,0,0,0,0,10.173609166988172,15.177172624971718,15.177172624971718,15.177172624971718,1,0.9398498749942519,None,,,2,2025-06-18_10h48.45.194,recall,2023.1.3,None,
CSp,t_002,recall,5,6,animal_001,CSp_001,Order1,stims/animals/snail.jpg,0,1,1,1,20.174000500002876,26.171890083991457,26.171890083991457,26.171890083991457,2,0.6706750419689342,None,,,2,2025-06-18_10h48.45.194,recall,2023.1.3,None,
CSm,t_003,recall,5,7,tool_002,CSm_002,Order1,stims/tools/coffeegrinder.jpg,0,2,2,2,31.169460208970122,38.170838749967515,38.170838749967515,38.170838749967515,1,0.6060318750096485,None,43.168217375001404,43.168217375001404,2,2025-06-18_10h48.45.194,recall,2023.1.3,None,
CSp,t_004,recall,5,6,animal_002,CSp_002,Order1,stims/animals/goat.jpg,0,3,3,3,43.168217375001404,49.169840042013675,49.169840042013675,49.169840042013675,2,1.3817364999558777,None,54.16884208400734,54.16884208400734,2,2025-06-18_10h48.45.194,recall,2023.1.3,None,
CSp,t_005,recall,5,6,animal_003,CSp_003,Order1,stims/animals/clownfish.jpg,0,4,4,4,54.16884208400734,60.168789291987196,60.168789291987196,60.168789291987196,1,0.6916332500404678,None,65.16458054201212,65.16458054201212,2,2025-06-18_10h48.45.194,recall,2023.1.3,None,
CSm,t_006,recall,5,7,tool_003,CSm_003,Order1,stims/tools/necktie.jpg,0,5,5,5,65.16458054201212,72.1614871249767,72.1614871249767,72.1614871249767,2,0.7158930830191821,None,,,2,2025-06-18_10h48.45.194,recall,2023.1.3,None,
CSp,t_007,recall,5,7,animal_004,CSp_004,Order1,stims/animals/echidna.jpg,0,6,6,6,77.16055049997522,84.16047812497709,84.16047812497709,84.16047812497709,2,0.5643174999859184,None,89.15606883401051,89.15606883401051,2,2025-06-18_10h48.45.194,recall,2023.1.3,None,
CSm,t_008,recall,5,7,tool_004,CSm_004,Order1,stims/tools/shoppingbag.jpg,0,7,7,7,89.15606883401051,96.15371733397478,96.15371733397478,96.15371733397478,2,1.156352624995634,None,,,2,2025-06-18_10h48.45.194,recall,2023.1.3,None,
CSp,t_009,recall,5,5,animal_005,CSp_005,Order1,stims/animals/bowerbird.jpg,0,8,8,8,101.14903362496989,106.14893070899416,106.14893070899416,106.14893070899416,1,0.8759993329877034,None,111.14290483400691,111.14290483400691,2,2025-06-18_10h48.45.194,recall,2023.1.3,None,
CSm,t_010,recall,5,6,tool_005,CSm_005,Order1,stims/tools/ladle.jpg,0,9,9,9,111.14290483400691,117.14635158400051,117.14635158400051,117.14635158400051,2,0.44666570803383365,None,,,2,2025-06-18_10h48.45.194,recall,2023.1.3,None,
CSm,t_011,recall,5,5,tool_006,CSm_006,Order1,stims/tools/boxinggloves.jpg,0,10,10,10,122.14303274999838,127.1407988750143,127.1407988750143,127.1407988750143,1,0.6582710000220686,None,,,2,2025-06-18_10h48.45.194,recall,2023.1.3,None,
CSp,t_012,recall,5,5,animal_006,CSp_006,Order1,stims/animals/armadillo.jpg,0,11,11,11,132.1419135420001,137.1434383749729,137.1434383749729,137.1434383749729,2,0.7051920410012826,None,142.13956587499706,142.13956587499706,2,2025-06-18_10h48.45.194,recall,2023.1.3,None,
,,,,,,,,,,,,,142.13956587499706,147.1342124589719,,,,,,,,,,,,,
