trial_type,trial,stimulus,cs_duration,iti_duration,block,trial_cs,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,inst1_resp.started,inst1.started,inst1.stopped,inst1_resp.keys,inst1_resp.rt,inst1_resp.duration,inst2.started,inst2_resp.started,inst2_resp.keys,inst2_resp.rt,inst2_resp.duration,inst3.started,inst3_resp.started,inst3_resp.keys,inst3_resp.rt,inst3_resp.duration,ex_iti_resp.started,ex_animal_iti.started,ex_tool_iti.started,ex_crosshair.started,ex_animal_iti.stopped,ex_tool_iti.stopped,ex_crosshair.stopped,ex_iti_resp.keys,ex_iti_resp.rt,ex_iti_resp.duration,ex_trials_resp.started,ex_tool.started,ex_animal.started,image.started,ex_trials_resp.stopped,ex_tool.stopped,ex_animal.stopped,image.stopped,ex_trials_resp.keys,ex_trials_resp.rt,ex_trials_resp.duration,inst4.started,inst4_resp.started,inst4_resp.keys,inst4_resp.rt,inst4_resp.duration,beg_exp.started,beg_exp_resp.started,beg_exp_resp.keys,beg_exp_resp.rt,beg_exp_resp.duration,ani_iti.started,tool_iti.started,crosshair.started,ani_iti.stopped,tool_iti.stopped,crosshair.stopped,base_image.started,trials_resp.started,animal.started,tool.started,trials_resp.keys,trials_resp.rt,trials_resp.duration,base_image.stopped,trials_resp.stopped,animal.stopped,tool.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,8.91785833297763,8.91785833297763,11.8875645409571,space,2.961569042003248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-10_12h19.44.927,baseline,2023.1.3,None,
,,,,,,,,,,,,,,,,,11.8875645409571,11.8875645409571,space,0.502673875016626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-10_12h19.44.927,baseline,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,12.397290624969173,12.397290624969173,space,1.8587677920004353,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-10_12h19.44.927,baseline,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,14.281188833003398,14.281188833003398,14.281188833003398,14.281188833003398,28.228421124978922,28.228421124978922,28.228421124978922,space,13.938142875034828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-10_12h19.44.927,baseline,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.228421124978922,28.228421124978922,28.228421124978922,28.228421124978922,33.21951729099965,33.21951729099965,33.21951729099965,33.21951729099965,2,3.7531881659524515,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-10_12h19.44.927,baseline,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.21951729099965,33.21951729099965,space,1.0666557920048945,None,,,,,,,,,,,,,,,,,,,,,,,,001,2025-06-10_12h19.44.927,baseline,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.29544179100776,34.29544179100776,space,0.8228376660263166,None,,,,,,,,,,,,,,,,,,,001,2025-06-10_12h19.44.927,baseline,2023.1.3,None,
CS-,1,stims/tools/woodchipper.jpg,5,6,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.137304582982324,35.137304582982324,35.137304582982324,41.13617399998475,41.13617399998475,41.13617399998475,41.13617399998475,41.13617399998475,41.13617399998475,41.13617399998475,1,0.5889729170012288,None,,,,,,001,2025-06-10_12h19.44.927,baseline,2023.1.3,None,
CS+,2,stims/animals/anteater.jpg,5,5,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.137281625007745,46.137281625007745,46.137281625007745,51.13665233296342,51.13665233296342,51.13665233296342,51.13665233296342,51.13665233296342,51.13665233296342,51.13665233296342,None,,,56.12856516597094,56.12856516597094,56.12856516597094,56.12856516597094,,001,2025-06-10_12h19.44.927,baseline,2023.1.3,None,
CS-,3,stims/tools/broom.jpg,5,6,1,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.12856516597094,56.12856516597094,56.12856516597094,62.12144116597483,62.12144116597483,62.12144116597483,62.12144116597483,62.12144116597483,62.12144116597483,62.12144116597483,None,,,67.11271087499335,67.11271087499335,67.11271087499335,67.11271087499335,,001,2025-06-10_12h19.44.927,baseline,2023.1.3,None,
CS-,4,stims/tools/viceclamp.jpg,5,7,1,3,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.11271087499335,67.11271087499335,67.11271087499335,74.13394670799607,74.13394670799607,74.13394670799607,74.13394670799607,74.13394670799607,74.13394670799607,74.13394670799607,None,,,,,,,,001,2025-06-10_12h19.44.927,baseline,2023.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.12779125000816,79.12779125000816,79.12779125000816,,,,,,,,,,,,,,,,,,,,,
