CS_type,phaseOrigin,trial,stim,mem_con,cs_duration,iti_duration,phase,category,memCon_by_phase,,shocked_day1
CSm,acq,t_001,stims/animals/herculesbeetle.jpg,old,5,2,bps1,animal,old_acq_CSm,,noUS
CSp,base,t_002,stims/tools/weedeater.jpg,old,5,2,bps1,tool,old_base_CSp,,noUS
CSp,acq,t_003,stims/tools/baseball_simB.jpg,sim,5,2,bps1,tool,sim_acq_CSp,,YES_US
CSm,ext,t_004,stims/animals/rhino.jpg,old,5,2,bps1,animal,old_ext_CSm,,noUS
CSp,bps,t_005,stims/tools/hammer.jpg,new,5,2,bps1,tool,new_bps_CSp,,noUS
CSm,bps,t_006,stims/animals/pike.jpg,new,5,2,bps1,animal,new_bps_CSm,,noUS
CSp,bps,t_007,stims/tools/hourglass.jpg,new,5,2,bps1,tool,new_bps_CSp,,noUS
CSp,base,t_008,stims/tools/allenwrench_simB.jpg,sim,5,2,bps1,tool,sim_base_CSp,,noUS
CSm,bps,t_009,stims/animals/baboon.jpg,new,5,2,bps1,animal,new_bps_CSm,,noUS
CSp,ext,t_010,stims/tools/scales_simB.jpg,sim,5,2,bps1,tool,sim_ext_CSp,,noUS
CSm,ext,t_011,stims/animals/bison_simB.jpg,sim,5,2,bps1,animal,sim_ext_CSm,,noUS
CSp,ext,t_012,stims/tools/monkeywrench.jpg,old,5,2,bps1,tool,old_ext_CSp,,noUS
CSm,bps,t_013,stims/animals/perch.jpg,new,5,2,bps1,animal,new_bps_CSm,,noUS
CSm,ext,t_014,stims/animals/aardvark.jpg,old,5,2,bps1,animal,old_ext_CSm,,noUS
CSp,bps,t_015,stims/tools/electricbreaker.jpg,new,5,2,bps1,tool,new_bps_CSp,,noUS
CSp,bps,t_016,stims/tools/chainsaw.jpg,new,5,2,bps1,tool,new_bps_CSp,,noUS
CSm,ext,t_017,stims/animals/hawk_simB.jpg,sim,5,2,bps1,animal,sim_ext_CSm,,noUS
CSm,bps,t_018,stims/animals/porcupine.jpg,new,5,2,bps1,animal,new_bps_CSm,,noUS
CSm,acq,t_019,stims/animals/shrimp_simB.jpg,sim,5,2,bps1,animal,sim_acq_CSm,,noUS
CSp,bps,t_020,stims/tools/measuringtape.jpg,new,5,2,bps1,tool,new_bps_CSp,,noUS
CSp,acq,t_021,stims/tools/routerplane.jpg,old,5,2,bps1,tool,old_acq_CSp,,noUS
CSm,base,t_022,stims/animals/zebra.jpg,old,5,2,bps1,animal,old_base_CSm,,noUS
CSp,base,t_023,stims/tools/magnifyingglass_simB.jpg,sim,5,2,bps1,tool,sim_base_CSp,,noUS
CSm,base,t_024,stims/animals/dragonfly.jpg,old,5,2,bps1,animal,old_base_CSm,,noUS
CSp,acq,t_025,stims/tools/jumpercables.jpg,old,5,2,bps1,tool,old_acq_CSp,,YES_US
CSm,bps,t_026,stims/animals/octopus.jpg,new,5,2,bps1,animal,new_bps_CSm,,noUS
CSp,bps,t_027,stims/tools/drillbit.jpg,new,5,2,bps1,tool,new_bps_CSp,,noUS
CSp,base,t_028,stims/tools/airpump.jpg,old,5,2,bps1,tool,old_base_CSp,,noUS
CSm,acq,t_029,stims/animals/finch.jpg,old,5,2,bps1,animal,old_acq_CSm,,noUS
CSp,ext,t_030,stims/tools/blower.jpg,old,5,2,bps1,tool,old_ext_CSp,,noUS
CSp,acq,t_031,stims/tools/testtube_simB.jpg,sim,5,2,bps1,tool,sim_acq_CSp,,noUS
CSm,base,t_032,stims/animals/chicken_simB.jpg,sim,5,2,bps1,animal,sim_base_CSm,,noUS
CSm,base,t_033,stims/animals/tiger_simB.jpg,sim,5,2,bps1,animal,sim_base_CSm,,noUS
CSp,ext,t_034,stims/tools/paperclip_simB.jpg,sim,5,2,bps1,tool,sim_ext_CSp,,noUS
CSm,bps,t_035,stims/animals/leopard.jpg,new,5,2,bps1,animal,new_bps_CSm,,noUS
CSm,acq,t_036,stims/animals/orangutan_simB.jpg,sim,5,2,bps1,animal,sim_acq_CSm,,noUS
CSp,acq,t_037,stims/tools/edger.jpg,old,5,3,bps1,tool,old_acq_CSp,,YES_US
CSm,bps,t_038,stims/animals/bluejay.jpg,new,5,3,bps1,animal,new_bps_CSm,,noUS
CSp,bps,t_039,stims/tools/kettle.jpg,new,5,3,bps1,tool,new_bps_CSp,,noUS
CSm,ext,t_040,stims/animals/camel_simB.jpg,sim,5,3,bps1,animal,sim_ext_CSm,,noUS
CSm,base,t_041,stims/animals/quail.jpg,old,5,3,bps1,animal,old_base_CSm,,noUS
CSm,base,t_042,stims/animals/duck.jpg,old,5,3,bps1,animal,old_base_CSm,,noUS
CSp,bps,t_043,stims/tools/duffelbag.jpg,new,5,3,bps1,tool,new_bps_CSp,,noUS
CSm,bps,t_044,stims/animals/springhare.jpg,new,5,3,bps1,animal,new_bps_CSm,,noUS
CSp,base,t_045,stims/tools/ipod_simB.jpg,sim,5,3,bps1,tool,sim_base_CSp,,noUS
CSm,acq,t_046,stims/animals/flea.jpg,old,5,3,bps1,animal,old_acq_CSm,,noUS
CSp,acq,t_047,stims/tools/gardenhose_simB.jpg,sim,5,3,bps1,tool,sim_acq_CSp,,YES_US
CSm,acq,t_048,stims/animals/goose_simB.jpg,sim,5,3,bps1,animal,sim_acq_CSm,,noUS
CSp,ext,t_049,stims/tools/squeegee.jpg,old,5,3,bps1,tool,old_ext_CSp,,noUS
CSp,base,t_050,stims/tools/lunchtray_simB.jpg,sim,5,3,bps1,tool,sim_base_CSp,,noUS
CSm,base,t_051,stims/animals/macaw_simB.jpg,sim,5,3,bps1,animal,sim_base_CSm,,noUS
CSp,acq,t_052,stims/tools/sander.jpg,old,5,3,bps1,tool,old_acq_CSp,,noUS
CSp,bps,t_053,stims/tools/solderingtorch.jpg,new,5,3,bps1,tool,new_bps_CSp,,noUS
CSm,ext,t_054,stims/animals/skunk.jpg,old,5,3,bps1,animal,old_ext_CSm,,noUS
CSp,ext,t_055,stims/tools/thimble_simB.jpg,sim,5,3,bps1,tool,sim_ext_CSp,,noUS
CSm,acq,t_056,stims/animals/bird_simB.jpg,sim,5,3,bps1,animal,sim_acq_CSm,,noUS
CSp,bps,t_057,stims/tools/wrench.jpg,new,5,3,bps1,tool,new_bps_CSp,,noUS
CSm,ext,t_058,stims/animals/caterpillarpeacockmoth.jpg,old,5,3,bps1,animal,old_ext_CSm,,noUS
CSm,bps,t_059,stims/animals/halibut.jpg,new,5,3,bps1,animal,new_bps_CSm,,noUS
CSp,bps,t_060,stims/tools/pruner.jpg,new,5,3,bps1,tool,new_bps_CSp,,noUS
CSp,ext,t_061,stims/tools/faxmachine.jpg,old,5,3,bps1,tool,old_ext_CSp,,noUS
CSp,bps,t_062,stims/tools/campingstove.jpg,new,5,3,bps1,tool,new_bps_CSp,,noUS
CSm,acq,t_063,stims/animals/mink.jpg,old,5,3,bps1,animal,old_acq_CSm,,noUS
CSp,base,t_064,stims/tools/lawnmower.jpg,old,5,3,bps1,tool,old_base_CSp,,noUS
CSm,bps,t_065,stims/animals/waterbuffalo.jpg,new,5,3,bps1,animal,new_bps_CSm,,noUS
CSp,base,t_066,stims/tools/spoon.jpg,old,5,3,bps1,tool,old_base_CSp,,noUS
CSm,bps,t_067,stims/animals/hippo.jpg,new,5,3,bps1,animal,new_bps_CSm,,noUS
CSp,acq,t_068,stims/tools/rake_simB.jpg,sim,5,3,bps1,tool,sim_acq_CSp,,noUS
CSp,ext,t_069,stims/tools/hairdryer_simB.jpg,sim,5,3,bps1,tool,sim_ext_CSp,,noUS
CSm,ext,t_070,stims/animals/quoll_simB.jpg,sim,5,3,bps1,animal,sim_ext_CSm,,noUS
CSm,bps,t_071,stims/animals/pelican.jpg,new,5,3,bps1,animal,new_bps_CSm,,noUS
CSm,base,t_072,stims/animals/penguin_simB.jpg,sim,5,3,bps1,animal,sim_base_CSm,,noUS
