trial_type,phase,block,stimulus,iti_duration,trial
CS+,fear,1,,1.5,1
CS-,extcc,1,,1.5,2
CS+,base,1,,1.5,3
CS+,extcc,1,,1.5,4
CS-,fear,1,,1.5,5
CS-,base,1,,1.5,6
CS+,extcc,1,,1.5,7
CS-,base,1,,1.5,8
CS+,fear,1,,1.5,9
CS-,extcc,1,,1.5,10
CS+,base,1,,1.5,11
CS-,fear,1,,1.5,12
CS+,base,2,,1.5,13
CS+,extcc,2,,1.5,14
CS-,base,2,,1.5,15
CS+,fear,2,,1.5,16
CS-,extcc,2,,1.5,17
CS+,base,2,,1.5,18
CS-,fear,2,,1.5,19
CS-,extcc,2,,1.5,20
CS+,fear,2,,1.5,21
CS-,base,2,,1.5,22
CS+,extcc,2,,1.5,23
CS-,fear,2,,1.5,24
CS-,extcc,3,,1.5,25
CS+,fear,3,,1.5,26
CS-,base,3,,1.5,27
CS-,fear,3,,1.5,28
CS+,extcc,3,,1.5,29
CS-,base,3,,1.5,30
CS+,fear,3,,1.5,31
CS+,base,3,,1.5,32
CS-,extcc,3,,1.5,33
CS+,base,3,,1.5,34
CS-,fear,3,,1.5,35
CS+,extcc,3,,1.5,36
CS-,fear,4,,1.5,37
CS+,extcc,4,,1.5,38
CS-,base,4,,1.5,39
CS-,extcc,4,,1.5,40
CS+,fear,4,,1.5,41
CS-,extcc,4,,1.5,42
CS+,base,4,,1.5,43
CS-,fear,4,,1.5,44
CS+,extcc,4,,1.5,45
CS-,base,4,,1.5,46
CS+,fear,4,,1.5,47
CS+,base,4,,1.5,48
CS-,fear,5,,1.5,49
CS-,extcc,5,,1.5,50
CS+,fear,5,,1.5,51
CS-,base,5,,1.5,52
CS+,extcc,5,,1.5,53
CS-,extcc,5,,1.5,54
CS+,base,5,,1.5,55
CS-,fear,5,,1.5,56
CS+,extcc,5,,1.5,57
CS-,base,5,,1.5,58
CS+,fear,5,,1.5,59
CS+,base,5,,1.5,60
CS-,extcc,6,,1.5,61
CS+,base,6,,1.5,62
CS-,fear,6,,1.5,63
CS+,base,6,,1.5,64
CS-,extcc,6,,1.5,65
CS-,fear,6,,1.5,66
CS+,extcc,6,,1.5,67
CS-,base,6,,1.5,68
CS+,fear,6,,1.5,69
CS+,extcc,6,,1.5,70
CS-,base,6,,1.5,71
CS+,fear,6,,1.5,72
CS-,base,7,,1.5,73
CS+,extcc,7,,1.5,74
CS-,fear,7,,1.5,75
CS+,fear,7,,1.5,76
CS-,base,7,,1.5,77
CS+,fear,7,,1.5,78
CS-,extcc,7,,1.5,79
CS-,extcc,7,,1.5,80
CS+,base,7,,1.5,81
CS+,extcc,7,,1.5,82
CS-,fear,7,,1.5,83
CS+,base,7,,1.5,84
CS-,fear,8,,1.5,85
CS+,base,8,,1.5,86
CS-,extcc,8,,1.5,87
CS+,fear,8,,1.5,88
CS-,base,8,,1.5,89
CS+,extcc,8,,1.5,90
CS-,fear,8,,1.5,91
CS+,extcc,8,,1.5,92
CS-,base,8,,1.5,93
CS+,fear,8,,1.5,94
CS+,base,8,,1.5,95
CS-,extcc,8,,1.5,96
CS-,base,9,,1.5,97
CS+,extcc,9,,1.5,98
CS-,fear,9,,1.5,99
CS+,base,9,,1.5,100
CS-,extcc,9,,1.5,101
CS-,base,9,,1.5,102
CS+,fear,9,,1.5,103
CS-,extcc,9,,1.5,104
CS+,base,9,,1.5,105
CS-,fear,9,,1.5,106
CS+,extcc,9,,1.5,107
CS+,fear,9,,1.5,108
CS-,fear,10,,1.5,109
CS+,base,10,,1.5,110
CS-,extcc,10,,1.5,111
CS+,fear,10,,1.5,112
CS-,base,10,,1.5,113
CS+,extcc,10,,1.5,114
CS-,fear,10,,1.5,115
CS+,extcc,10,,1.5,116
CS-,base,10,,1.5,117
CS+,fear,10,,1.5,118
CS-,extcc,10,,1.5,119
CS+,base,10,,1.5,120
CS+,extcc,11,,1.5,121
CS-,fear,11,,1.5,122
CS+,base,11,,1.5,123
CS-,extcc,11,,1.5,124
CS+,base,11,,1.5,125
CS-,fear,11,,1.5,126
CS-,base,11,,1.5,127
CS+,extcc,11,,1.5,128
CS-,base,11,,1.5,129
CS+,fear,11,,1.5,130
CS-,extcc,11,,1.5,131
CS+,fear,11,,1.5,132
CS-,base,12,,1.5,133
CS-,extcc,12,,1.5,134
CS+,base,12,,1.5,135
CS-,fear,12,,1.5,136
CS+,fear,12,,1.5,137
CS-,base,12,,1.5,138
CS+,extcc,12,,1.5,139
CS+,fear,12,,1.5,140
CS-,extcc,12,,1.5,141
CS+,base,12,,1.5,142
CS-,fear,12,,1.5,143
CS+,extcc,12,,1.5,144
